"","gene","WFe_pH 5.5","LFe_pH 5.5","LFe_pH 7.5","WFe_pH 7.5","cluster","membership"
"198","AT2G10940",1.45112103067289,-0.135357089139066,-0.729676252706115,-0.58608768882771,1,0.308058447900498
"199","AT2G11270",1.16316608185473,-0.0181583236866706,-1.27649022773402,0.131482469565953,1,0.417223854128727
"200","AT2G13360",1.01430532726574,0.239338951628391,-1.37785129344568,0.124207014551549,1,0.490187496893884
"201","AT2G13910",0.829037722186419,0.76460586567145,-1.27547844687158,-0.318165140986285,1,0.317596030067845
"202","AT2G15370",0.926812434940388,0.132576243794895,-1.413518434905,0.354129756169718,1,0.320277996127051
"203","AT2G15590",0.884029042658555,0.802330836380572,-1.11963342558243,-0.566726453456699,1,0.294305052481995
"204","AT2G15620",1.40692209131617,-0.286626937620516,-0.165885854194049,-0.954409299501601,1,0.211474085690235
"205","AT2G15970",1.29343665177931,-0.0624807202755368,-1.14721640463685,-0.0837395268669198,1,0.451444708393769
"206","AT2G16005",0.688089303334221,0.396956212647378,-1.48599957010697,0.400954054125372,1,0.263988324808842
"207","AT2G16380",1.13865495021034,0.464503905532054,-1.11988892170883,-0.48326993403356,1,0.483219270440735
"208","AT2G17036",1.44730095833267,-0.110868229877228,-0.669204486128885,-0.66722824232656,1,0.29637146121837
"209","AT2G18650",0.883549356223791,0.712761127970186,-1.26570659146804,-0.330603892725933,1,0.35790336596741
"210","AT2G18735",0.95032166386339,0.715943167029099,-0.520007142239442,-1.14625768865305,1,0.216757769113851
"211","AT2G18980",1.15067947268334,0.148897644046841,-1.28591586542639,-0.0136612513037894,1,0.624256145607108
"212","AT2G21010",1.33127934410791,0.0430762321804801,-1.06228651980427,-0.312069056484124,1,0.496019986894084
"213","AT2G21210",1.09526055000508,0.54580093644192,-0.541277932824163,-1.09978355362284,1,0.239910598028181
"214","AT2G21860",1.43810716251915,-0.193359942325762,-0.867079454658393,-0.377667765534996,1,0.326043976094971
"215","AT2G22122",1.34631097943123,0.0848811674985898,-0.994958251783854,-0.436233895145964,1,0.454858654986841
"216","AT2G22170",1.05051052178759,-0.0447432523081691,-1.33614283355134,0.33037556407192,1,0.303976251707052
"217","AT2G22330",1.37135275431768,-0.135902986042462,-1.02867131412843,-0.206778454146793,1,0.381398528590314
"218","AT2G22770",1.07147805742306,0.436365624631796,-1.2661344576937,-0.241709224361158,1,0.609087690024035
"219","AT2G22980",1.08387708470944,0.208974197237999,-1.33410581064343,0.0412545286959958,1,0.581667500623065
"220","AT2G23130",1.23625126471484,0.0551898175010151,-1.2090707253263,-0.0823703568895542,1,0.577691593902991
"221","AT2G23410",0.953693240140922,0.761914958919671,-0.719422285801068,-0.996185913259524,1,0.239856762443153
"222","AT2G23680",1.11779050114502,0.469531758236309,-0.426041526028291,-1.16128073335304,1,0.227890127828994
"223","AT2G23690",1.29310167911278,-0.0842675091573745,-1.14762377176931,-0.0612103981860926,1,0.427692044244182
"224","AT2G25160",1.24625476541207,0.247082718172928,-1.11461627210626,-0.378721211478744,1,0.577866805695136
"225","AT2G25770",1.35077783678341,-0.104817158383188,-1.06355019342497,-0.182410484975256,1,0.408637365387775
"226","AT2G26390",1.35414355655483,0.0775976696333668,-0.975997851695788,-0.455743374492405,1,0.440291094936477
"227","AT2G26900",1.28827144336138,-0.0193015188408405,-1.1516125117687,-0.117357412751837,1,0.497005372187142
"228","AT2G27402",1.38529527094394,-0.0859691721108882,-0.988368052474183,-0.310958046358866,1,0.399143585034449
